 ,Area,XM,YM
1,5496,249.824,88.742
2,5510,248.266,93.793
3,5488,246.685,98.999
4,5487,245.012,104.769
5,5484,243.384,110.668
6,5462,241.728,116.975
7,5400,238.621,130.338
8,5409,236.832,137.720
9,5381,235.077,145.136
10,5331,233.442,152.976
11,5334,231.727,161.257
12,5274,230.121,169.624
13,5277,228.379,178.529
14,5238,226.580,187.478
15,5200,224.852,196.929
16,5192,223.271,206.656
17,5150,221.580,216.623
18,5172,219.846,227.092
19,5124,218.182,237.596
20,5132,216.542,248.658
21,5093,214.964,259.728
22,5039,213.227,271.233
23,5009,211.586,283.045
24,4930,210.027,295.060
25,4911,208.493,307.548
26,4825,206.976,320.014
27,4772,205.274,333.122
28,4727,203.651,346.122
29,4648,202.231,359.505
30,4638,200.674,373.246
31,4546,199.158,386.930
32,4546,197.538,401.245
33,4521,196.148,415.513
34,4498,194.709,430.252
35,4522,193.165,445.238
36,4471,191.609,460.180
37,4533,190.191,475.828
38,4520,188.854,491.357
39,4555,186.075,523.796
40,4557,184.601,540.363
