 ,Area,XM,YM
1,5238,245.578,88.950
2,5221,243.753,93.976
3,5208,241.683,100.211
4,5132,239.735,106.580
5,5107,237.945,112.693
6,5043,236.112,118.849
7,5059,234.229,125.731
8,5026,232.604,132.584
9,4998,230.871,139.797
10,5003,228.974,147.521
11,4920,227.191,155.147
12,4927,225.432,163.631
13,4893,223.727,171.961
14,4905,221.650,181.415
15,4885,219.629,191.029
16,4838,217.896,200.319
17,4863,216.052,210.300
18,4800,212.616,230.511
19,4784,210.922,241.068
20,4749,209.284,251.939
21,4761,207.602,263.126
22,4701,205.911,274.448
23,4683,204.266,286.243
24,4629,202.733,298.028
25,4590,200.996,310.585
26,4502,199.409,322.996
27,4429,197.980,335.557
28,4410,196.402,348.565
29,4320,194.866,361.551
30,4321,193.316,375.092
31,4273,191.734,388.371
32,4251,190.269,402.443
33,4260,188.716,416.602
34,4199,187.239,430.785
35,4225,185.790,445.514
36,4209,184.296,460.140
37,4200,182.766,475.122
38,4220,181.280,490.149
39,4204,179.796,505.669
40,4270,178.380,521.753
41,4269,176.979,537.924
