 ,Area,XM,YM
1,5620,247.010,50.439
2,5624,245.349,54.905
3,5607,241.913,64.830
4,5544,240.351,70.196
5,5549,238.444,76.168
6,5532,236.711,82.169
7,5500,234.971,88.735
8,5489,233.368,95.523
9,5438,231.747,102.344
10,5435,229.947,109.712
11,5364,228.126,117.266
12,5347,226.406,125.257
13,5286,224.819,133.429
14,5236,223.121,141.988
15,5229,221.309,150.891
16,5158,219.646,159.885
17,5151,217.876,169.408
18,5102,216.190,178.986
19,5066,214.448,189.064
20,5039,212.783,199.423
21,4974,211.144,209.922
22,4982,209.437,220.790
23,4914,207.886,231.825
24,4922,206.270,243.310
25,4873,204.672,254.895
26,4833,203.063,266.807
27,4810,201.468,279.067
28,4727,199.925,291.312
29,4674,198.400,304.060
30,4604,196.940,316.757
31,4558,195.320,330.053
32,4439,192.327,356.930
33,4440,190.800,370.776
34,4372,189.355,384.558
35,4354,187.739,398.874
36,4328,186.344,413.181
37,4292,184.905,427.811
38,4293,183.563,442.645
39,4240,182.172,457.367
40,4279,180.690,472.798
41,4262,179.217,488.098
42,4287,177.933,504.094
43,4346,176.679,520.393
