 ,Area,XM,YM
1,5239,288.203,111.613
2,5314,286.711,116.982
3,5292,285.292,122.262
4,5273,283.696,128.165
5,5297,282.090,134.277
6,5249,280.451,140.674
7,5281,278.738,147.629
8,5224,277.202,154.468
9,5232,275.548,162.015
10,5213,274.007,169.653
11,5173,272.359,177.725
12,5171,270.792,186.070
13,5126,269.089,194.662
14,5160,267.419,203.759
15,5121,265.793,212.899
16,5124,264.100,222.651
17,5134,262.505,232.517
18,5092,260.952,242.789
19,5126,259.290,253.511
20,5069,257.662,264.228
21,5099,255.944,275.703
22,5089,254.309,287.051
23,5041,252.636,299.018
24,4977,249.429,323.319
25,4973,247.716,336.211
26,4904,246.275,348.991
27,4838,244.792,362.304
28,4792,243.332,375.604
29,4703,241.936,389.372
30,4715,240.441,403.602
31,4643,239.044,417.781
32,4651,237.400,432.745
33,4620,236.015,447.366
34,4589,234.652,462.745
35,4634,233.206,478.383
36,4586,231.869,494.027
37,4665,230.347,510.492
38,4636,228.983,526.859
39,4656,227.458,543.980
40,4697,226.093,561.130
41,4685,224.575,578.847
