 ,Area,XM,YM
1,1185,103.465,69.631
2,1213,103.331,76.352
3,1204,103.169,83.071
4,1225,103.049,90.508
5,1213,102.898,97.643
6,1195,102.658,105.161
7,1224,102.366,113.240
8,1198,102.235,121.417
9,1233,101.950,130.292
10,1214,101.705,138.890
11,1224,101.501,148.389
12,1238,101.441,157.771
13,1222,101.279,167.311
14,1241,101.071,177.449
15,1228,100.827,187.523
16,1241,100.656,198.302
17,1235,100.411,209.260
18,1238,100.162,220.602
19,1224,99.775,232.085
20,1205,99.531,243.934
21,1203,99.269,256.005
22,1199,98.735,268.562
23,1196,98.352,281.285
24,1195,97.950,294.514
25,1190,97.627,307.830
26,1188,97.167,321.344
27,1169,96.930,334.998
28,1192,96.488,349.044
29,1176,96.172,363.110
30,1166,95.971,377.600
31,1186,95.724,392.481
32,1164,95.174,407.332
33,1188,94.930,422.915
34,1168,94.450,438.583
35,1192,93.990,454.619
36,1197,93.376,471.198
37,1211,92.923,487.969
38,1216,92.303,505.100
39,1208,91.779,522.504
40,1227,91.021,540.399
41,1227,90.309,558.356
42,1230,89.714,576.821
43,1256,89.070,595.439
44,1248,88.391,614.281
45,1287,87.744,633.593
46,1304,87.048,653.082
47,1320,86.486,673.067
48,1355,85.754,693.177
49,1372,85.112,713.681
50,1393,84.422,734.417
