 ,Area,XM,YM
1,1212,95.716,58.853
2,1250,95.527,65.226
3,1270,94.822,78.045
4,1298,94.562,85.140
5,1263,94.295,91.911
6,1271,93.992,99.419
7,1272,93.620,106.985
8,1275,93.345,115.103
9,1296,93.029,123.517
10,1266,92.731,131.858
11,1300,92.370,141.158
12,1279,92.036,150.098
13,1289,91.756,159.612
14,1283,91.482,169.102
15,1271,91.111,179.443
16,1302,90.735,189.833
17,1272,90.347,200.296
18,1289,90.071,211.654
19,1275,89.806,222.870
20,1259,89.250,234.545
21,1272,88.831,246.699
22,1230,88.325,258.646
23,1239,88.027,271.481
24,1227,87.569,284.399
25,1238,87.186,297.762
26,1221,86.630,310.723
27,1208,86.333,324.247
28,1217,85.718,338.180
29,1193,85.341,352.005
30,1203,84.714,366.452
31,1186,84.277,380.878
32,1193,83.803,396.024
33,1198,83.178,411.252
34,1186,82.479,426.745
35,1202,81.772,442.676
36,1179,80.881,458.976
37,1203,80.184,475.783
38,1207,79.480,492.686
39,1198,78.730,510.149
40,1222,77.929,527.869
41,1213,77.265,545.854
42,1231,76.660,564.204
43,1224,75.738,582.479
44,1222,75.205,601.305
45,1263,74.729,620.133
46,1261,73.887,639.559
47,1289,73.208,659.174
48,1307,72.583,678.827
49,1324,72.169,699.459
50,1356,71.630,720.093
51,1368,70.786,741.048
52,1397,69.935,762.062
