 ,Area,XM,YM
1,1085,73.256,60.525
2,1073,73.007,66.305
3,1118,72.564,72.711
4,1100,72.449,79.143
5,1116,72.244,85.996
6,1125,72.174,93.000
7,1142,71.581,108.049
8,1121,71.516,115.695
9,1157,71.293,124.242
10,1150,71.111,132.733
11,1149,70.609,141.749
12,1186,70.354,151.158
13,1170,70.262,160.591
14,1192,69.831,170.721
15,1190,69.364,180.665
16,1210,69.100,191.361
17,1212,68.783,202.138
18,1184,68.458,213.096
19,1205,68.078,224.732
20,1171,67.637,236.186
21,1195,67.323,248.597
22,1180,66.953,260.594
23,1162,66.608,273.333
24,1171,66.345,286.247
25,1152,65.945,299.160
26,1172,65.673,312.658
27,1159,65.522,326.121
28,1152,65.174,340.000
29,1160,64.758,354.033
30,1152,64.443,368.329
31,1156,64.033,383.181
32,1150,63.611,398.104
33,1163,63.043,413.686
34,1167,62.524,429.286
35,1165,61.915,445.382
36,1175,60.697,478.481
37,1199,60.015,495.727
38,1196,59.295,513.059
39,1206,58.896,530.900
40,1211,58.194,548.863
41,1197,57.682,567.035
42,1221,57.132,585.672
43,1236,56.575,604.345
44,1270,56.097,623.696
45,1276,55.451,643.006
46,1302,54.965,662.951
47,1342,54.158,683.209
48,1354,53.621,703.614
49,1389,52.907,724.787
50,1409,52.172,745.778
