 ,Area,XM,YM
1,1103,110.929,55.854
2,1098,110.624,61.393
3,1125,110.200,67.667
4,1112,109.891,73.901
5,1127,109.563,80.724
6,1144,109.023,87.690
7,1138,108.641,94.837
8,1159,108.184,102.372
9,1137,107.780,110.219
10,1161,107.223,118.517
11,1143,106.634,126.881
12,1156,106.118,135.905
13,1176,105.586,145.105
14,1164,105.088,154.650
15,1188,104.424,164.443
16,1170,103.805,174.278
17,1192,103.389,184.962
18,1181,102.721,195.492
19,1176,102.156,206.675
20,1190,101.582,217.939
21,1159,100.964,229.414
22,1185,100.308,241.691
23,1165,99.597,253.607
24,1162,98.941,266.241
25,1164,98.199,279.060
26,1159,97.780,292.171
27,1160,96.918,305.616
28,1154,96.070,319.147
29,1159,94.769,347.245
30,1153,93.952,361.842
31,1163,93.097,376.780
32,1144,92.335,392.017
33,1167,91.730,407.753
34,1156,90.907,423.518
35,1174,89.991,439.892
36,1185,89.123,456.472
37,1184,88.427,473.532
38,1211,87.705,491.187
39,1203,86.803,508.893
40,1221,85.883,527.131
41,1217,85.020,545.530
42,1232,84.134,564.436
43,1265,83.303,583.513
44,1267,82.318,602.744
45,1317,81.377,622.775
46,1331,80.543,642.974
47,1369,79.543,663.838
48,1405,78.486,684.833
49,1417,77.435,706.185
50,1472,76.504,727.976
