Position (mm),Counts
0,-10.3333333333333
0.5,-11.3333333333333
1,13
1.5,58.6666666666666
2,143
2.5,176
3,228.666666666667
3.5,279.666666666667
4,304.333333333333
4.5,265
5,229.333333333333
5.5,189
6,105.666666666667
6.5,71
7,54
7.5,16.6666666666667
8,-8.66666666666669
8.5,-17.3333333333333
