Time (s),X-X_0 (m)
0,0
0.00416666666666667,0.00198130081300813
0.00833333333333333,0.00413536585365854
0.0125,0.00639715447154471
0.0166666666666667,0.00891951219512195
0.0208333333333333,0.0115093495934959
0.025,0.0143768292682927
0.0291666666666667,0.0174378048780488
0.0333333333333333,0.0205768292682927
0.0375,0.0239036585365854
0.0416666666666667,0.0273369918699187
0.0458333333333333,0.0309808943089431
0.05,0.0347764227642276
0.0541666666666667,0.0386951219512195
0.0583333333333333,0.0428182926829268
0.0625,0.0471369918699187
0.0666666666666667,0.0515520325203252
0.0708333333333333,0.0560943089430894
0.075,0.0609317073170732
0.0791666666666667,0.0658524390243902
0.0833333333333333,0.0709105691056911
0.0875,0.0762357723577236
0.0916666666666667,0.0816548780487805
0.0958333333333333,0.0872678861788618
0.1,0.093110162601626
0.104166666666667,0.0990341463414634
0.108333333333333,0.105254471544715
0.1125,0.111481707317073
0.116666666666667,0.117973983739837
0.120833333333333,0.124514227642276
0.125,0.131235365853659
0.129166666666667,0.138151219512195
0.133333333333333,0.145127642276423
0.1375,0.152399593495935
0.141666666666667,0.159676829268293
0.145833333333333,0.167284552845528
0.15,0.174900406504065
