Time (s),Y-y_0 (m)
0,0
0.00416666666666667,0.00192295081967213
0.00833333333333333,0.00399139344262295
0.0125,0.0062360655737705
0.0166666666666667,0.00861352459016393
0.0208333333333333,0.0111725409836066
0.025,0.0139848360655738
0.0291666666666667,0.0168762295081967
0.0333333333333333,0.0199368852459016
0.0375,0.0231606557377049
0.0416666666666667,0.0265614754098361
0.0458333333333333,0.0301106557377049
0.05,0.0338110655737705
0.0541666666666667,0.0377315573770492
0.0583333333333333,0.0417040983606557
0.0625,0.0459573770491803
0.0666666666666667,0.0503016393442623
0.0708333333333333,0.0548
0.075,0.0595372950819672
0.0791666666666667,0.0643364754098361
0.0833333333333333,0.0693315573770492
0.0875,0.0745434426229508
0.0916666666666667,0.0799081967213115
0.0958333333333333,0.0854348360655738
0.1,0.0910536885245902
0.104166666666667,0.0969479508196721
0.108333333333333,0.102920491803279
0.1125,0.109193852459016
0.116666666666667,0.115468032786885
0.120833333333333,0.121973770491803
0.125,0.12861393442623
0.129166666666667,0.135352049180328
0.133333333333333,0.142337295081967
0.1375,0.149356147540984
0.141666666666667,0.156563524590164
0.145833333333333,0.163990163934426
0.15,0.171512295081967
