Time (s),X-X_0 (m)
0,0
0.00416666666666667,0.000786363636363636
0.00833333333333333,0.00151900826446281
0.0125,0.00219256198347107
0.0166666666666667,0.00296694214876034
0.0208333333333333,0.00374834710743802
0.025,0.00446942148760331
0.0291666666666667,0.00525289256198348
0.0333333333333333,0.00604504132231406
0.0375,0.00683677685950414
0.0416666666666667,0.00762975206611571
0.0458333333333333,0.00839132231404959
0.05,0.00917809917355372
0.0541666666666667,0.00996446280991736
0.0583333333333333,0.0107471074380165
0.0625,0.0115735537190083
0.0666666666666667,0.0123450413223141
0.0708333333333333,0.0131776859504132
0.075,0.0139871900826446
0.0791666666666667,0.0148376033057851
0.0833333333333333,0.0156442148760331
0.0875,0.0164504132231405
0.0916666666666667,0.0173140495867769
0.0958333333333333,0.0181429752066116
0.1,0.0190004132231405
0.104166666666667,0.0198685950413223
0.108333333333333,0.020699173553719
0.1125,0.0215739669421488
0.116666666666667,0.0224140495867769
0.120833333333333,0.0232950413223141
0.125,0.024198347107438
0.129166666666667,0.0251301652892562
0.133333333333333,0.0260851239669422
0.1375,0.0269760330578513
0.141666666666667,0.027947520661157
0.145833333333333,0.0288867768595041
