B (T),Alpha 1,Alpha 2,Waveshift (%),Delta E (micro eV),y pred,residual,res error
0.005,-0.643,-0.643,0,0,-3.77570873335733,-3.77570873335733,1.66575736617271
0.156,-0.643,-0.663,-0.00018,3.5,5.16555712254158,1.66555712254158,1.85025337160307
0.182,-0.643,-0.675,-0.0003,5.8,6.70511283282881,0.905112832828815,1.91257093221737
0.21,-0.643,-0.687,-0.00042,8.1,8.36309590544583,0.263095905445832,1.98766193390179
0.243,-0.643,-0.7,-0.00055,10.6,10.3171473838873,-0.282852616112683,2.08558956587246
0.27,-0.643,-0.717,-0.00071,13.7,11.9159167753394,-1.78408322466056,2.17238804052267
0.297,-0.643,-0.725,-0.0008,15.3,13.5146861667916,-1.78531383320843,2.264455684119
,,,,,,,
0.005,-0.643,-0.643,0,0,0.650661203959112,0.650661203959112,1.66575736617271
0.156,-0.643,-0.594,0.00044,-8.4,-8.55427019105955,-0.154270191059549,1.85025337160307
0.182,-0.643,-0.587,0.0005,-9.6,-10.1392252656985,-0.539225265698525,1.91257093221737
0.21,-0.643,-0.581,0.00055,-10.6,-11.8460999614636,-1.24609996146357,1.98766193390179
0.243,-0.643,-0.561,0.0007,-13.6,-13.8577737100438,-0.257773710043811,2.08558956587246
0.27,-0.643,-0.545,0.00084,-16.1,-15.5036885952458,0.596311404754177,2.17238804052267
0.297,-0.643,-531,0.00094,-18.1,-17.1496034804478,0.950396519552164,2.264455684119
