B (T),Alpha 1,Alpha 2,Waveshift (%),Delta E (micro eV),y pred,residual,res error
0.005,-0.686,-0.686,0.00000,0.0,0.577545844176027,-0.577545844176027,0.229462868176659
0.041,-0.686,-0.678,0.00008,-1.6,-1.77450556345605,0.174505563456048,0.235309371312209
0.067,-0.686,-0.67,0.00016,-3.1,-3.47320935785699,0.373209357856991,0.244904232133885
0.097,-0.686,-0.657,0.00028,-5.4,-5.43325219755039,0.0332521975503859,0.260866245202963
0.124,-0.686,-0.65,0.00034,-6.5,-7.19729075327444,0.697290753274443,0.279002349635253
0.156,-0.686,-0.635,0.00049,-9.4,-9.28800311561406,-0.111996884385936,0.304211389098586
0.182,-0.686,-0.623,0.00059,-11.4,-10.986706910015,-0.413293089984993,0.327054424467968
0.210,-0.686,-0.613,0.00068,-13.2,-12.8160802270622,-0.383919772937823,0.353517839442814
0.243,-0.686,-0.603,0.00077,-14.8,-14.9721273507249,0.17212735072491,0.386657902376108
0.270,-0.686,-0.591,0.00087,-16.8,-16.736165906449,-0.0638340935510335,0.41500857962292
0.297,-0.686,-0.581,0.00095,-18.4,-18.500204462173,0.100204462173025,0.444243522806652
,,,,,,,
0.005,-0.684,-0.684,0.00000,0.0,0.24193116931907,-0.24193116931907,0.229462868176659
0.041,-0.684,-0.699,-0.00015,2.9,2.34296675694867,0.557033243051334,0.235309371312209
0.067,-0.684,-0.704,-0.00020,3.9,3.86038134801449,0.0396186519855148,0.244904232133885
0.097,-0.684,-0.713,-0.00029,5.6,5.61124433770582,-0.0112443377058158,0.260866245202963
0.124,-0.684,-0.722,-0.00038,7.3,7.18702102842801,0.112978971571988,0.279002349635253
0.156,-0.684,-0.731,-0.00048,9.2,9.0546082174321,0.145391782567902,0.304211389098586
0.182,-0.684,-0.737,-0.00054,10.4,10.5720228084979,-0.172022808497916,0.327054424467968
0.210,-0.684,-0.742,-0.00059,11.4,12.2061615988765,-0.806161598876491,0.353517839442814
0.243,-0.684,-0.753,-0.00071,13.6,14.132110887537,-0.532110887536954,0.386657902376108
0.270,-0.684,-0.763,-0.00081,15.7,15.7078875782592,-0.00788757825915276,0.41500857962292
0.297,-0.684,-0.774,-0.00094,18.2,17.2836642689813,0.916335731018652,0.444243522806652
