Frequency (Hz),Speaker (V),Resistor (V),Current (A),Impedance (Ohm)
50,0.114333333333333,0.145666666666667,0.0145666666666667,7.84897025171625
55,0.116566666666667,0.145466666666667,0.0145466666666667,8.01329055912007
60,0.119333333333333,0.1452,0.01452,8.21854912764004
65,0.1229,0.144933333333333,0.0144933333333333,8.47976080956762
70,0.1274,0.1446,0.01446,8.81051175656985
75,0.133133333333333,0.1441,0.01441,9.23895442979412
80,0.1408,0.1434,0.01434,9.8186889818689
85,0.150966666666667,0.142433333333333,0.0142433333333333,10.599110695062
90,0.1647,0.141,0.0141,11.6808510638298
95,0.183733333333333,0.1389,0.01389,13.2277417806575
100,0.210266666666667,0.135166666666667,0.0135166666666667,15.5561035758323
105,0.246266666666667,0.129866666666667,0.0129866666666667,18.9630390143737
110,0.2918,0.120933333333333,0.0120933333333333,24.1289966923925
115,0.335433333333333,0.110266666666667,0.0110266666666667,30.4201934703748
120,0.3531,0.1054,0.01054,33.5009487666034
125,0.335233333333333,0.110433333333333,0.0110433333333333,30.3561726531844
130,0.299866666666667,0.119366666666667,0.0119366666666667,25.1214744484781
135,0.2636,0.127433333333333,0.0127433333333333,20.6853256604761
140,0.232933333333333,0.1293,0.01293,18.0149523072957
145,0.2088,0.1362,0.01362,15.3303964757709
150,0.189666666666667,0.1381,0.01381,13.7340091720975
155,0.175333333333333,0.139733333333333,0.0139733333333333,12.5477099236641
160,0.1649,0.1412,0.01412,11.6784702549575
165,0.156066666666667,0.142066666666667,0.0142066666666667,10.9854528390427
170,0.149066666666667,0.1427,0.01427,10.4461574398505
175,0.143466666666667,0.1432,0.01432,10.0186219739292
180,0.138666666666667,0.1436,0.01436,9.65645311049211
185,0.1352,0.1439,0.01439,9.39541348158443
190,0.131766666666667,0.144233333333333,0.0144233333333333,9.13565981049226
195,0.129133333333333,0.1444,0.01444,8.94275161588181
200,0.126866666666667,0.1445,0.01445,8.77970011534026
