Frequency (Hz),Impedance (Ohm)
10,5.98235294117647
20,6.04460093896714
30,6.14344503233392
40,6.29935179728933
50,6.52687536916716
60,6.88203912270302
70,7.47366328761678
80,8.50944154278827
90,10.179012345679
100,14.9212253829322
110,22.9385194479297
120,22.4502982107356
130,15.7086004864028
