Centre Pos,Unc (pixels),
1014.15,0.5,
B (T),X_1,X_2
0.003,844,844
0.184,844,840.1
0.213,844,838.9
0.25,844,836.4
0.28,844,833.4
0.316,844,831
0.348,844,829.5
