Centre Pos,Unc (pixels),
998.4,0.5,
B (T),X_1,X_2
0.003,825.5,825.5
0.039,825.5,827
0.073,825.5,828.5
0.109,825.5,830.5
0.143,825.5,832
0.184,825.5,833.6
0.213,825.5,834.7
0.25,825.5,836.6
0.28,825.5,838.5
0.316,825.5,840.4
0.348,825.5,841.6
