Centre Pos,Unc (pixels),
998.4,0.5,
B (T),X_1,X_2
0.003,825.5,825.5
0.039,825.5,823.9
0.073,825.5,822.8
0.109,825.5,820.9
0.143,825.5,819
0.184,825.5,817.5
0.213,825.5,816.2
0.25,825.5,814.9
0.28,825.5,813
0.316,825.5,811.8
0.348,825.5,810
