time (s),y (m)
0.00000,0
0.00417,0.00292339589473684
0.00833,0.00623544378947369
0.01250,0.00952824894736842
0.01667,0.013132864
0.02083,0.0168145521052632
0.02500,0.0205933132631579
0.02917,0.0245780948421053
0.03333,0.0287288968421053
0.03750,0.0331188771578947
0.04167,0.0375454042105263
0.04583,0.0423211095789474
0.05000,0.0471912564210526
0.05417,0.0522447921052632
0.05833,0.057430664
0.06250,0.0626404510526316
0.06667,0.0682988901052632
0.07083,0.0738780864210526
0.07500,0.0798027768421053
0.07917,0.0857719087368421
0.08333,0.0918539031578947
0.08750,0.0983598127368421
0.09167,0.104677532210526
0.09583,0.111374956315789
0.10000,0.118171558736842
0.10417,0.125123655263158
0.10833,0.132253351157895
0.11250,0.139430120105263
0.12083,0.154334350842105
0.12500,0.162077602105263
0.12917,0.170002136947368
0.13333,0.178085850105263
0.13750,0.186434004736842
0.14167,0.194799232421053
0.14583,0.203486796315789
0.15000,0.212284591157895
0.15417,0.221336827473684
0.15833,0.230704031578947
0.16250,0.24009988768421
0.16667,0.24977755368421
0.17083,0.259541766421053
0.17500,0.269574631157895
0.17917,0.279699305789474
0.18333,0.289906842947368
0.18750,0.300537242631579
0.19167,0.311257873263158
0.19583,0.322330313789474
0.20000,0.333473511578947
0.20417,0.344806414
0.20833,0.356372178947368
