time (s),y (m)
0.00000,0
0.00417,0.00315557150617284
0.01250,0.00950763530864198
0.01667,0.0130246214320988
0.02083,0.0163832313580247
0.02500,0.0201074157037037
0.02917,0.0238618658271605
0.03333,0.027890532345679
0.03750,0.0320669955061728
0.04167,0.0362090330864197
0.04583,0.0408262747160494
0.05000,0.0452673623703704
0.05417,0.049993530617284
0.05833,0.0547094708148148
0.06250,0.0598472817283951
0.06667,0.0650109139753086
0.07083,0.0702122194074074
0.07500,0.0758571239506173
0.07917,0.0814335288395062
0.08333,0.0872382241975309
0.08750,0.0932810865679012
0.09167,0.0992233505185185
0.09583,0.105605756790123
0.10000,0.112030774518519
0.10417,0.118677169135802
0.10833,0.125126669037037
0.11250,0.131855817432099
0.11667,0.138788564938272
0.12083,0.14566960291358
0.12500,0.152859425185185
0.12917,0.160040500888889
0.13333,0.167578755950617
0.13750,0.175159128641975
0.14167,0.182871989333333
0.14583,0.190802770123457
0.15000,0.198917396938272
0.15417,0.207284017925926
0.15833,0.215699670123457
0.16250,0.224393489333333
0.16667,0.233215845925926
0.17083,0.242170690518519
0.17500,0.25130740582716
0.17917,0.260408707901235
0.18333,0.26978373254321
0.18750,0.279161368641975
0.19167,0.288835937185185
0.19583,0.298605462864198
0.20000,0.308395377777778
0.20417,0.318670373283951
0.20833,0.328947980246914
0.2125,0.339385729530864
0.216666666666667,0.349854238419753
