time (s),y (m)
0.00000,0
0.00417,0.00296580605263158
0.00833,0.00626581263157895
0.01250,0.00958423026315789
0.01667,0.0131289536842105
0.02083,0.0167578776315789
0.02917,0.0245778007894737
0.03333,0.0285588
0.03750,0.0330187365789474
0.04167,0.0374539263157895
0.04583,0.0421701586842105
0.05000,0.04709796
0.05417,0.0520431197368421
0.05833,0.0573598484210526
0.06250,0.0625834092105263
0.06667,0.0682074863157895
0.07083,0.0738789218421053
0.07500,0.0796503473684211
0.07917,0.0857833418421053
0.08333,0.0918252736842105
0.08750,0.0983756165789474
0.09167,0.104712791578947
0.09583,0.111445219736842
0.10000,0.11827448
0.10417,0.125107940789474
0.10833,0.132254023157895
0.11250,0.139386411315789
0.11667,0.146742473684211
0.12083,0.154184315526316
0.12500,0.161769305263158
0.12917,0.169651653421053
0.13333,0.177576096842105
0.13750,0.185852109210526
0.14167,0.194142322105263
0.14583,0.202698314473684
0.15417,0.220301848157895
0.15833,0.229477284210526
0.16250,0.238702710263158
0.16667,0.248200757894737
0.17083,0.257767742894737
0.17500,0.267449454736842
0.17917,0.277380630263158
0.18333,0.28733548
0.18750,0.297651898684211
0.19167,0.307951465263158
0.19583,0.318589969210526
0.20000,0.329397936842105
0.20417,0.340287999736842
0.20833,0.351587
0.21250,0.362794937631579
