time (s),y (m)
0.00000,0
0.00417,0.00343661107692308
0.00833,0.00687469723076923
0.01250,0.0106834892307692
0.01667,0.0143399101538462
0.02083,0.0181952420512821
0.02500,0.022340766974359
0.02917,0.026539049025641
0.03333,0.0310977805128205
0.03750,0.0355169614358974
0.04167,0.0404006943589744
0.04583,0.045226928
0.05000,0.050136688
0.05417,0.0553556153846154
0.05833,0.060544222974359
0.06250,0.0660968697435897
0.06667,0.0717438121025641
0.07083,0.0775901782564103
0.07500,0.0835113528205128
0.07917,0.0896227204102564
0.08333,0.0958504348717949
0.08750,0.102329880820513
0.09167,0.108896955692308
0.09583,0.115726018461538
0.10000,0.122602197333333
0.10417,0.129582415384615
0.10833,0.136636929025641
0.11250,0.143894969025641
0.11667,0.151165766153846
0.12083,0.158656499897436
0.12500,0.166350247179487
0.12917,0.174031110564103
0.13333,0.182089859282051
0.13750,0.190194698461538
0.14167,0.198490756307692
0.14583,0.207067776410256
0.15000,0.215745758769231
0.15417,0.224610857230769
0.15833,0.233618456410256
0.16250,0.242880351179487
0.16667,0.252176541538461
0.17083,0.261735745435897
0.17500,0.271375911589744
0.17917,0.28113345025641
0.18333,0.291134515282051
0.18750,0.30122885025641
0.19167,0.311580044923077
0.19583,0.321997842871795
0.20000,0.332620192820513
0.20417,0.343364017846154
