time (s),Y-y_0 (m)
0,0
0.00416666666666667,0.0030421052631579
0.00833333333333333,0.00641368421052632
0.0125,0.00979894736842105
0.0166666666666667,0.0134057894736842
0.0208333333333333,0.0170921052631579
0.0291666666666667,0.0250126315789474
0.0333333333333333,0.0290368421052632
0.0375,0.0335352631578947
0.0416666666666667,0.0380042105263158
0.0458333333333333,0.0427494736842105
0.05,0.0477015789473684
0.0541666666666667,0.0526663157894737
0.0583333333333333,0.0579978947368421
0.0625,0.0632315789473684
0.0666666666666667,0.0688610526315789
0.0708333333333333,0.0745331578947368
0.075,0.0803005263157895
0.0791666666666667,0.0864247368421053
0.0833333333333333,0.0924531578947368
0.0875,0.0989852631578948
0.0916666666666667,0.105299473684211
0.0958333333333333,0.112004210526316
0.1,0.118801052631579
0.104166666666667,0.125597368421053
0.108333333333333,0.132701578947368
0.1125,0.139787368421053
0.116666666666667,0.147092105263158
0.120833333333333,0.154477894736842
0.125,0.162002105263158
0.129166666666667,0.169818947368421
0.133333333333333,0.177673157894737
0.1375,0.185874210526316
0.141666666666667,0.194084736842105
0.145833333333333,0.202556315789474
0.154166666666667,0.219976842105263
0.158333333333333,0.229053684210526
0.1625,0.238175789473684
0.166666666666667,0.247565789473684
0.170833333333333,0.25702
0.175,0.266584210526316
0.179166666666667,0.276393157894737
0.183333333333333,0.286221052631579
0.1875,0.296405789473684
0.191666666666667,0.306568947368421
0.195833333333333,0.317066315789474
0.2,0.327728421052632
0.204166666666667,0.338467894736842
0.208333333333333,0.349611578947368
0.2125,0.36065947368421
