time (s),y (m)
0.00000,0
0.00417,0.00301355756962026
0.00833,0.00639573832911392
0.01250,0.00989236506329114
0.01667,0.013496349164557
0.02083,0.0173175640506329
0.02500,0.0210643641518987
0.02917,0.0251367494683544
0.03333,0.0293250997468354
0.03750,0.0335240985316456
0.04167,0.0381089356962025
0.04583,0.0427773327594937
0.05000,0.0476452390886076
0.05417,0.0525232875949367
0.05833,0.0576175542278481
0.06250,0.0628546212658228
0.06667,0.0682253747848101
0.07083,0.0738093084556962
0.07500,0.0794722450632912
0.07917,0.0854212732151899
0.08333,0.091319177721519
0.08750,0.0975907687088608
0.09167,0.103912501873418
0.09583,0.110455516455696
0.10000,0.117171711189873
0.10417,0.123870706329114
0.10833,0.13083148921519
0.11250,0.137868237063291
0.11667,0.144997152405063
0.12083,0.152356969417722
0.12500,0.159635789367089
0.12917,0.16732981478481
0.13333,0.175026387443038
0.13750,0.183031330126582
0.14167,0.191011478278481
0.14583,0.199238730632911
0.15000,0.207752580860759
0.15417,0.216338345417722
0.15833,0.225182353417722
0.16250,0.234087642835443
0.16667,0.243236492151899
0.17083,0.252544850734177
0.17500,0.261786389468354
0.17917,0.271401614683544
0.18333,0.280983944101266
0.18750,0.290927301772152
0.19167,0.300944599088608
0.19583,0.311040899341772
0.20000,0.321563544303797
0.20417,0.332028989670886
0.208333333333333,0.342773944303797
0.2125,0.353485496810127
