Time (s),Y-y_0 (m)
0,0
0.00416666666666667,0.00232229885057471
0.00833333333333333,0.00471586206896551
0.0125,0.00736873563218391
0.0166666666666667,0.0100809195402299
0.0208333333333333,0.0129806896551724
0.0291666666666667,0.0191245977011494
0.0333333333333333,0.0225186206896552
0.0375,0.025928275862069
0.0416666666666667,0.0295328735632184
0.0458333333333333,0.0333402298850575
0.05,0.0371871264367816
0.0541666666666667,0.0412813793103448
0.0583333333333333,0.0453958620689655
0.0625,0.0497411494252874
0.0666666666666667,0.0542133333333333
0.0708333333333333,0.0587958620689655
0.075,0.0636091954022989
0.0791666666666667,0.0684386206896552
0.0833333333333333,0.0735245977011494
0.0875,0.0786142528735632
0.0916666666666667,0.083903908045977
0.0958333333333333,0.0893347126436782
0.1,0.0948588505747126
0.104166666666667,0.100600459770115
0.108333333333333,0.106331954022989
0.1125,0.112358620689655
0.116666666666667,0.118335632183908
0.120833333333333,0.124488735632184
0.125,0.130806436781609
0.129166666666667,0.137097931034483
0.133333333333333,0.143679540229885
0.1375,0.150239540229885
0.141666666666667,0.157016091954023
0.145833333333333,0.163906206896552
0.15,0.170776091954023
0.154166666666667,0.177970574712644
0.158333333333333,0.185110344827586
0.166666666666667,0.200024827586207
0.170833333333333,0.20764183908046
