Time (s),X-X_0 (m)
0,0
0.00416666666666667,0.000730109890109891
0.0125,0.00224043956043955
0.0166666666666667,0.00292703296703297
0.0208333333333333,0.00376527472527473
0.025,0.00452703296703296
0.0291666666666667,0.00529186813186813
0.0333333333333333,0.00599648351648352
0.0375,0.00670901098901099
0.0416666666666667,0.00750021978021978
0.0458333333333333,0.00830065934065934
0.05,0.0090567032967033
0.0541666666666667,0.00975428571428573
0.0583333333333333,0.0105006593406593
0.0625,0.0112971428571429
0.0666666666666667,0.0120281318681319
0.0708333333333333,0.0128061538461539
0.075,0.0135472527472528
0.0791666666666667,0.014312967032967
0.0833333333333333,0.0150448351648352
0.0875,0.0157652747252747
0.0916666666666667,0.0165156043956044
0.0958333333333333,0.0171973626373627
0.1,0.0179076923076923
0.104166666666667,0.0186101098901099
0.108333333333333,0.0193173626373627
0.1125,0.0200184615384616
0.116666666666667,0.0206967032967033
0.120833333333333,0.021367032967033
0.125,0.0220087912087912
0.129166666666667,0.0227208791208791
0.1375,0.0240364835164835
0.141666666666667,0.0247076923076923
0.145833333333333,0.0253428571428572
0.15,0.0260531868131868
0.154166666666667,0.0266663736263737
0.158333333333333,0.0272989010989011
0.1625,0.0278887912087912
0.166666666666667,0.0285002197802198
0.170833333333333,0.0291516483516484
0.175,0.0297991208791209
0.179166666666667,0.0303635164835165
0.183333333333333,0.0309147252747253
