Time (s),X-X_0 (m)
0.0000,0
0.0042,0.00071632183908047
0.0083,0.0014432183908046
0.0125,0.00221241379310345
0.0167,0.0029609195402299
0.0208,0.00372229885057472
0.0292,0.00515080459770115
0.0333,0.00597333333333335
0.0375,0.00678022988505748
0.0417,0.00753195402298851
0.0458,0.00832045977011495
0.0500,0.00905885057471265
0.0542,0.00985977011494254
0.0583,0.0106868965517241
0.0625,0.0114813793103448
0.0667,0.012208275862069
0.0708,0.0129857471264368
0.0750,0.0137829885057471
0.0792,0.0145480459770115
0.0833,0.0153020689655173
0.0875,0.0160275862068966
0.0917,0.0168262068965517
0.0958,0.0175806896551724
0.1000,0.0182974712643678
0.1042,0.0190027586206897
0.1083,0.0197002298850575
0.1125,0.0204827586206897
0.1167,0.0212289655172414
0.1208,0.0218818390804598
0.1250,0.0225977011494253
0.1292,0.0232947126436782
0.1333,0.0240395402298851
0.1375,0.0246786206896552
0.1417,0.0253402298850575
0.1458,0.0260501149425288
0.1500,0.0267655172413793
0.1542,0.0274174712643678
0.1583,0.028032183908046
0.1667,0.0293098850574713
0.1708,0.0299875862068966
