Time (s),X-X_0 (m)
0,0
0.0042,0.000719036144578296
0.0083,0.00140289156626506
0.0125,0.00217204819277106
0.0167,0.00294602409638555
0.0208,0.00373590361445781
0.025,0.00456144578313252
0.0292,0.00530168674698795
0.0333,0.00609879518072288
0.0375,0.00684144578313252
0.0417,0.00763566265060242
0.0458,0.00839084337349399
0.05,0.00921156626506024
0.0542,0.0100163855421687
0.0583,0.0108
0.0625,0.0116159036144578
0.0667,0.012384578313253
0.0708,0.0131330120481928
0.075,0.0139339759036145
0.0792,0.0147185542168675
0.0833,0.0155465060240964
0.0875,0.0163344578313253
0.0917,0.0171407228915663
0.1,0.018686265060241
0.1042,0.0195118072289157
0.1083,0.020206265060241
0.1125,0.0209209638554217
0.1167,0.021624578313253
0.1208,0.0222973493975904
0.125,0.0230178313253012
0.1292,0.0236910843373494
0.1333,0.0244833734939759
0.1375,0.025150843373494
0.1417,0.0258077108433735
0.1458,0.026504578313253
0.15,0.0271489156626506
0.1542,0.0278824096385542
0.1583,0.0285397590361446
0.1625,0.0292746987951807
0.1667,0.0299325301204819
0.1708,0.0306640963855422
