Time (s),X-X_0 (m)
0.0000,0
0.0042,0.000879518072289166
0.0083,0.00187710843373495
0.0125,0.00281590361445783
0.0167,0.00367855421686748
0.0208,0.00456192771084338
0.0250,0.00546939759036145
0.0292,0.00625253012048193
0.0333,0.0070877108433735
0.0375,0.00800192771084339
0.0417,0.00886120481927712
0.0458,0.00970891566265062
0.0500,0.0105306024096386
0.0542,0.0115315662650603
0.0583,0.0125055421686747
0.0625,0.0133407228915663
0.0667,0.0142293975903615
0.0750,0.0158853012048193
0.0792,0.016701686746988
0.0833,0.0174910843373494
0.0875,0.018301686746988
0.0917,0.0191166265060241
0.0958,0.0199093975903615
0.1000,0.0206481927710844
0.1042,0.0214853012048193
0.1083,0.0222501204819277
0.1125,0.0229387951807229
0.1167,0.0236992771084338
0.1208,0.0244395180722892
0.1250,0.0251865060240964
0.1292,0.0259489156626506
0.1333,0.0266549397590362
0.1375,0.0274033734939759
0.1417,0.0281151807228916
0.1458,0.0288134939759037
0.1500,0.0295334939759036
0.1542,0.030270843373494
0.1583,0.0309869879518073
0.1625,0.0317021686746988
0.1667,0.0323845783132531
0.1708,0.0330597590361446
