 ,Area,XM,YM
1,1876,58.131,153.738
2,1896,60.034,158.810
3,1900,61.807,164.195
4,1894,63.437,169.911
5,1912,65.311,176.117
6,1912,67.202,182.691
7,1921,68.947,189.908
8,1907,70.843,197.128
9,1920,72.760,204.960
10,1929,74.676,213.187
11,1923,76.595,221.748
12,1939,78.438,230.733
13,1929,80.342,239.979
14,1950,82.245,249.896
15,1950,84.139,260.038
16,1955,86.139,270.692
17,1986,88.006,281.638
18,1973,90.021,293.003
19,2005,91.980,304.874
20,2003,94.038,317.024
21,2014,95.990,329.657
22,2038,97.941,342.744
23,2053,100.031,356.175
24,2079,102.037,370.173
25,2083,104.112,384.370
26,2124,106.213,399.378
27,2145,108.223,414.399
28,2168,110.340,430.082
29,2198,112.373,446.079
30,2204,114.505,462.266
31,2246,116.691,479.149
32,2264,118.946,496.052
33,2285,121.257,513.651
34,2331,123.413,531.345
35,2373,125.764,549.503
36,2425,128.037,568.188
