 ,Area,XM,YM
1,1892,56.931,177.927
2,1892,58.981,182.801
3,1914,60.751,188.100
4,1891,62.558,193.664
5,1923,64.450,199.869
6,1932,66.409,206.240
7,1911,68.233,213.294
8,1937,70.149,220.824
9,1921,72.024,228.546
10,1935,74.046,236.730
11,1912,76.005,245.176
12,1935,77.921,254.140
13,1937,79.871,263.477
14,1933,81.941,273.117
15,1951,83.955,283.260
16,1954,86.058,293.884
17,1973,88.081,304.745
18,1974,90.103,315.919
19,1986,92.268,327.819
20,2009,94.331,339.924
21,2003,96.382,352.367
22,2045,98.554,365.467
23,2047,100.535,378.798
24,2062,102.761,392.606
25,2099,104.938,406.978
26,2113,107.136,421.551
27,2153,109.278,436.853
28,2147,111.563,452.172
29,2195,113.897,468.143
30,2212,116.116,484.232
31,2224,118.335,500.766
32,2271,120.653,517.779
33,2286,123.049,534.941
34,2351,125.431,552.830
35,2368,127.676,570.732
36,2415,130.154,589.447
37,2456,132.527,608.182
