 ,Area,XM,YM
1,1820,55.512,114.345
2,1826,57.160,119.394
3,1844,58.802,125.037
4,1835,60.239,130.744
5,1833,61.820,137.178
6,1860,63.412,143.751
7,1837,64.909,150.717
8,1867,66.408,158.303
9,1862,68.129,166.067
10,1866,69.802,174.414
11,1878,71.453,182.981
12,1869,73.139,191.870
13,1881,74.709,201.171
14,1876,76.348,210.786
15,1888,77.949,220.997
16,1896,79.634,231.569
17,1893,81.191,242.448
18,1911,82.751,253.833
19,1907,84.390,265.397
20,1935,85.918,277.631
21,1940,87.520,290.076
22,1956,89.106,302.968
23,1963,90.745,316.343
24,1981,92.240,330.033
25,2011,93.782,344.273
26,2018,95.327,358.661
27,2055,96.854,373.795
28,2077,98.468,389.166
29,2084,100.029,404.807
30,2116,101.624,420.797
31,2122,103.336,437.086
32,2158,105.042,453.943
33,2175,106.732,470.742
34,2194,108.512,488.319
35,2242,110.192,505.998
36,2263,111.829,524.148
